ID,Label,Degree,modularity_class,Community Name,Colrname,Color,Show
24_oras_happy,happy,0,0,happy,Black,#333333,24 Oras
24_oras_sad,sad,0,1,sad,Black,#333333,24 Oras
24_oras_tawag,tawag,1,2,Pulis,Navy,#000080,24 Oras
24_oras_pulis,pulis,2,2,Pulis,Navy,#000080,24 Oras
24_oras_ecq,ecq,2,2,Pulis,Navy,#000080,24 Oras
24_oras_jail,jail,2,3,jail,Black,#333333,24 Oras
24_oras_terrorism,terrorism,1,3,jail,Black,#333333,24 Oras
tv_patrol_upon,upon,1,4,Oras,Silver,#c0c0c0,TV Patrol
tv_patrol_time,time,1,4,Oras,Silver,#c0c0c0,TV Patrol
tv_patrol_endorsement,endorsement,0,5,endorsement,Black,#333333,TV Patrol
tv_patrol_end,end,0,6,end,Black,#333333,TV Patrol
